,CCSM4 RCP4.5,CCSM4 RCP4.5,CCSM4 RCP8.5,CCSM4 RCP8.5,HadGEM2-CC RCP4.5,HadGEM2-CC RCP4.5,HadGEM2-CC RCP8.5,HadGEM2-CC RCP8.5,HadGEM2-ES RCP4.5,HadGEM2-ES RCP4.5,HadGEM2-ES RCP8.5,HadGEM2-ES RCP8.5
Breeding Season,Hydroperiod,Phenology,Hydroperiod,Phenology,Hydroperiod,Phenology,Hydroperiod,Phenology,Hydroperiod,Phenology,Hydroperiod,Phenology
2030-2031,2,1,0,0,0,0,2,1,0,0,0,0
2031-2032,0,0,0,0,0,0,2,1,0,0,0,1
2032-2033,2,1,1,1,0,0,2,1,2,1,2,1
2033-2034,0,1,2,1,2,0,2,1,0,0,2,0
2034-2035,0,1,0,1,2,0,0,0,2,0,2,1
2035-2036,0,0,0,0,2,1,2,1,0,0,0,1
2036-2037,0,0,0,0,1,1,2,1,2,1,2,1
2037-2038,0,0,0,1,2,0,0,0,2,1,1,1
2038-2039,2,0,0,1,2,1,2,1,2,0,2,1
2039-2040,2,1,0,0,2,1,2,1,2,0,2,1
2040-2041,0,1,2,0,0,0,0,1,0,0,0,0
2041-2042,2,1,0,0,2,0,2,0,2,0,0,1
2042-2043,0,1,2,1,0,0,0,1,2,0,1,1
2043-2044,0,0,0,0,0,0,0,0,0,1,0,0
2044-2045,0,0,0,0,2,1,0,1,0,0,0,1
2045-2046,0,1,0,0,1,1,1,0,0,0,1,1
2046-2047,0,0,0,0,1,1,2,1,2,1,0,0
2047-2048,2,1,2,1,0,0,0,0,2,1,2,1
2048-2049,1,1,1,1,2,0,2,0,0,0,0,0
2049-2050,0,0,0,1,0,0,0,1,0,0,1,1
2050-2051,0,0,2,1,1,1,2,1,2,1,0,0
2051-2052,2,0,1,1,2,1,2,1,0,0,0,1
2052-2053,1,1,0,0,2,1,2,0,0,0,2,1
2053-2054,0,0,0,1,0,0,2,1,0,1,0,1
2054-2055,1,1,0,0,0,0,0,0,0,0,0,1
2055-2056,0,1,2,0,2,1,0,1,0,1,0,0
2056-2057,0,0,0,0,1,1,0,0,0,0,0,0
2057-2058,0,1,0,0,0,0,2,1,2,0,2,1
2058-2059,0,0,1,1,2,1,0,1,0,0,2,0
2059-2060,2,1,2,1,1,1,0,0,0,0,1,1
2060-2061,2,1,0,0,2,1,2,1,0,0,0,0
2061-2062,0,0,1,1,2,1,2,1,2,0,0,0
2062-2063,0,1,0,1,2,0,2,0,0,1,0,0
2063-2064,0,1,0,1,2,0,2,1,2,1,0,1
2064-2065,0,0,0,0,1,1,1,1,1,1,2,1
2065-2066,0,0,2,1,0,0,0,0,2,1,2,1
2066-2067,0,0,2,1,0,0,2,1,0,1,0,0
2067-2068,2,1,0,0,1,1,0,0,2,1,0,0
2068-2069,0,0,0,0,2,1,0,0,0,1,1,1
2069-2070,0,0,2,1,0,0,0,0,0,0,0,0
2070-2071,0,0,0,0,2,1,2,1,0,1,0,1
2071-2072,0,0,0,1,0,1,2,1,2,1,0,0
2072-2073,0,0,2,1,2,1,1,1,2,0,0,0
2073-2074,0,0,0,0,2,1,2,1,2,1,0,1
2074-2075,0,0,0,0,2,1,2,1,0,0,0,0
2075-2076,0,0,0,0,0,0,0,0,2,1,2,1
2076-2077,1,1,0,0,2,0,0,1,2,0,0,0
2077-2078,2,0,0,0,2,1,0,1,2,1,2,1
2078-2079,2,1,0,0,1,1,1,1,0,1,2,1
2079-2080,0,0,2,0,2,1,2,1,0,0,2,0
2080-2081,0,0,1,1,2,1,2,1,0,1,2,1
2081-2082,0,0,1,1,2,1,0,1,1,1,0,1
2082-2083,2,0,2,1,0,0,0,0,0,0,2,0
2083-2084,0,0,0,1,1,1,0,0,2,1,0,0
2084-2085,0,1,1,1,2,1,0,0,2,1,0,0
2085-2086,1,1,0,1,0,1,2,1,2,0,2,0
2086-2087,0,0,0,0,0,0,2,0,2,1,2,1
2087-2088,2,1,0,0,1,0,1,1,2,1,0,0
2088-2089,1,1,1,1,0,1,0,0,2,1,0,1
2089-2090,0,0,2,1,2,0,0,1,1,1,0,0
2090-2091,0,0,0,0,0,1,2,1,2,0,0,1
2091-2092,2,0,2,1,2,1,2,0,0,0,0,1
2092-2093,0,0,2,1,0,0,2,1,0,1,1,1
2093-2094,0,0,1,1,0,0,2,0,0,0,0,0
2094-2095,0,0,0,0,1,1,2,0,0,0,0,0
2095-2096,0,0,1,1,0,0,1,1,0,0,0,1
2096-2097,0,0,1,1,0,0,0,1,2,0,2,1
2097-2098,0,0,0,1,2,1,2,1,0,0,0,0
2098-2099,1,1,0,0,0,0,0,1,2,1,2,0
2099-2100,0,0,2,1,0,0,1,1,0,0,0,0
